src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.106.246,8.8.8.8,34597,53,17,2023-05-07 05:49:13,59580.56449890137,4296.703164078288,33.567993469361625,16.783996734680812,16.783996734680812,1,1,96,160,96.0,96.0,96.0,0.0,160.0,160.0,160.0,0.0,160,96,128.0,32.0,1024.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,128.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,160.0,0,1,1,96,160
192.168.106.246,8.8.8.8,36657,53,17,2023-05-07 05:49:13,70320.12939453125,4323.086470652056,28.441358359553,14.2206791797765,14.2206791797765,1,1,96,208,96.0,96.0,96.0,0.0,208.0,208.0,208.0,0.0,208,96,152.0,56.0,3136.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,152.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,208.0,0,1,1,96,208
192.168.106.246,8.8.8.8,52805,53,17,2023-05-07 05:49:13,38724.18403625488,4648.2580454497875,51.64731161610875,25.823655808054376,25.823655808054376,1,1,82,98,82.0,82.0,82.0,0.0,98.0,98.0,98.0,0.0,98,82,90.0,8.0,64.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,90.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,98.0,0,1,1,82,98
192.168.106.246,8.8.8.8,44240,53,17,2023-05-07 05:49:13,50006.866455078125,3839.4727286596994,39.9945075902052,19.9972537951026,19.9972537951026,1,1,82,110,82.0,82.0,82.0,0.0,110.0,110.0,110.0,0.0,110,82,96.0,14.0,196.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,96.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,110.0,0,1,1,82,110
192.168.106.246,8.8.8.8,43662,53,17,2023-05-07 05:49:13,98476.88674926758,9250.901709753487,40.61866831944451,20.309334159722255,20.309334159722255,2,2,176,735,88.0,88.0,88.0,0.0,390.0,345.0,367.5,22.5,390,88,227.75,140.65271949023952,19783.1875,16,16,8,2,32825.61500345866,50421.197100830075,164.2591552734375,23118.147373134023,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,227.75,0,0,0.0,0.0,0.0,0.0,50256.967544555664,47891.37840270996,49074.17297363281,1182.7945709228516,0.0,0.0,0.0,0.0,0.0,0.0,88.0,367.5,0,2,2,176,735
192.168.106.246,13.70.73.107,33896,443,6,2023-05-07 05:49:14,1150586.6050720215,6222.043580588946,13.90595017312797,7.822096972384483,6.083853200743487,9,7,1782,5377,624.0,54.0,198.0,219.0611279478351,4365.0,56.0,768.1428571428571,1483.2704626284858,4365,54,447.4375,1034.1803498876538,1069528.99609375,180,140,20,4,76705.75856709798,344528.39951782225,76.69424438476562,102435.77528084975,994187.593460083,544477.9396057129,634.1934204101562,124273.44918251038,172756.136933928,1006109.4760894775,344528.4366607666,9528.398513793945,167684.9126815796,98500.1828818871,0,0,0,0,1,0,0,0,0,0,0,0.7777777777777778,447.4375,64240,2045,343783.6170196533,143842.9355621338,195806.02645874023,85450.64418302421,197683.57276916504,144477.12898254395,155015.78648885092,19143.55940387342,0.0,0.0,0.0,0.0,0.0,0.0,198.0,768.1428571428571,0,9,7,1782,5377
140.82.113.26,192.168.106.246,443,54356,6,2023-05-07 05:49:15,383718.25218200684,661.9440137539292,7.818236382920423,5.212157588613616,2.606078794306808,2,1,158,96,92.0,66.0,79.0,13.0,96.0,96.0,96.0,0.0,96,66,84.66666666666667,13.299958228840003,176.8888888888889,40,20,20,1,191859.1436706543,383335.5888519287,382.6984893798828,191476.4451812744,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.5,84.66666666666667,70,501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,96.0,0,2,1,158,96
192.168.106.246,13.67.9.5,49058,443,6,2023-05-07 05:49:18,100942.37327575684,14176.40534456981,29.71992734710652,19.813284898071014,9.906642449035507,2,1,980,451,914.0,66.0,490.0,424.0,451.0,451.0,451.0,0.0,914,66,477.0,346.6823714391412,120188.66666666667,40,20,20,1,50471.16440734863,100807.83036804199,134.49844665527343,50336.66596069336,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.5,477.0,501,1021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,490.0,451.0,0,2,1,980,451
139.18.13.154,192.168.106.246,443,36242,6,2023-05-07 05:49:20,121502459.04922485,12.493574301940717,0.1892965803324351,0.09876343321692267,0.09053314711551244,12,11,792,726,66.0,66.0,66.0,0.0,66.0,66.0,66.0,0.0,66,66,66.0,0.0,0.0,240,220,20,0,5522839.049442084,15199623.58204956,84.83569946289063,6446944.48574505,121502459.04922485,15199713.230133057,2799978.017807007,11045678.095384078,4815421.22579903,106302731.51397705,15192132.234573364,2974429.3689727783,10630273.151397705,4775439.686863081,0,0,0,0,1,0,0,0,0,0,0,0.9166666666666666,66.0,125,501,15191957.235336304,103.95050048828125,9570838.581431996,5519171.808025098,15199533.939361572,2625616.3120269775,10952603.643590754,4882127.253044561,0.0,0.0,0.0,0.0,0.0,0.0,66.0,66.0,0,12,11,792,726
139.18.13.154,192.168.106.246,443,36244,6,2023-05-07 05:49:21,106400628.08990479,13.646535984478504,0.2067656967345228,0.1033828483672614,0.1033828483672614,11,11,726,726,66.0,66.0,66.0,0.0,66.0,66.0,66.0,0.0,66,66,66.0,0.0,0.0,220,220,20,0,5066696.580886405,15265241.153842162,85.30775451660156,6640023.584540184,106400539.39819336,15265326.499938965,1128566.5035247803,10640053.939819336,5885380.566014066,106400527.4772644,15265331.745147705,1310213.8042449951,10640052.74772644,5784792.791854032,0,0,0,0,1,0,0,0,0,0,0,1.0,66.0,124,3760,15265150.547027588,100.61264038085938,10379023.64730835,6096808.1933274595,15265155.792236328,947005.7487487793,10538561.582565308,5938107.640366162,0.0,0.0,0.0,0.0,0.0,0.0,66.0,66.0,0,11,11,726,726
