src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.70.22,142.250.76.74,52843,443,17,2023-05-06 19:56:38,115676110.9828949,99.76995165152617,1.3313034012940848,0.6570068733659119,0.6742965279281727,76,78,5905,5636,304.0,71.0,77.69736842105263,37.23680258506364,127.0,64.0,72.25641025641026,15.633983282183303,304,64,74.94155844155844,28.55667343321452,815.4835975712599,608,624,8,76,756053.0122936972,6880888.987631226,0.975408935546875,1708779.4979541209,115649477.72026062,6903874.158859253,21043.062210083008,1541993.0362701416,2195608.7372123995,115645603.89518738,6880888.938903809,0.95367431640625,1501890.9596777582,2176080.4598256447,0,0,0,0,1,0,0,0,0,0,0,1.0263157894736843,74.94155844155844,0,0,6872633.695602417,26415.109634399414,1492593.422741957,2159422.9954252928,6866158.962249756,5825.75798034668,1498333.5431416829,2192688.9459357397,0.0,0.0,0.0,0.0,0.0,0.0,77.69736842105263,72.25641025641026,0,76,78,5905,5636
192.168.69.215,192.168.71.255,137,137,17,2023-05-06 19:56:38,100145895.00427246,67.06215965929987,0.728936518035868,0.728936518035868,0.0,73,0,6716,0,92.0,92.0,92.0,0.0,0.0,0.0,0.0,0.0,92,92,92.0,0.0,0.0,584,0,8,73,1390915.21005444,10342704.497802734,514062.85451660154,1537152.2052127728,100145895.00427246,10342704.53453064,514062.88146972656,1390915.2083926732,1537152.2107568264,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,92.0,0,0,9727959.871292114,1036.1671447753906,1613427.7820587158,2270784.094142089,8400022.506713867,96149.44458007812,1142261.8251097829,1788697.0159977863,325.0,6.5,0.0,0.0,76.94015048369921,0.0,92.0,0.0,0,73,0,6716,0
192.168.68.250,192.168.71.255,41388,58581,17,2023-05-06 19:56:38,120317925.21476746,259.37947271193156,1.5625269440477807,1.5625269440477807,0.0,188,0,31208,0,166.0,166.0,166.0,0.0,0.0,0.0,0.0,0.0,166,166,166.0,0.0,0.0,1504,0,8,188,643411.3667957,2969306.185684204,408173.32273864746,332842.45213569375,120317925.21476746,2969306.230545044,408173.3226776123,643411.3647848527,332842.4546903309,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,166.0,0,0,2456725.597381592,27.179718017578125,478570.91219528863,487207.8968111343,1945033.7886810303,6066.560745239258,449577.96265097224,383158.4255137223,1145.1764705882354,9.235294117647058,0.0,0.0,275.54240327995393,0.0,166.0,0.0,0,188,0,31208,0
192.168.69.215,224.0.0.251,5353,5353,17,2023-05-06 19:56:39,101170380.59234619,17.001023322532827,0.2174549494742571,0.2174549494742571,0.0,22,0,1720,0,79.0,77.0,78.18181818181819,0.9833321660356336,0.0,0.0,0.0,0.0,79,77,78.18181818181819,0.9833321660356336,0.9669421487603308,176,0,8,22,4817637.172712635,15256641.637747193,922757.1945251465,3360613.9999016956,101170380.59234619,15256641.626358032,922757.1487426758,4817637.171064104,3360614.000681951,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,78.18181818181819,0,0,12695807.933807373,1333380.4607391357,4555204.123258591,3473602.0003813375,11773542.165756226,1024072.8855133057,4412137.222290039,3016868.6529420046,0.0,0.0,0.0,0.0,0.0,0.0,78.18181818181819,0.0,0,22,0,1720,0
192.168.69.215,224.0.0.252,55819,5355,17,2023-05-06 19:56:39,409067.63076782227,356.90919793863225,4.889167095049756,4.889167095049756,0.0,2,0,146,0,73.0,73.0,73.0,0.0,0.0,0.0,0.0,0.0,73,73,73.0,0.0,0.0,16,0,8,2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,73.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0,2,0,146,0
192.168.70.198,224.0.0.251,5353,5353,17,2023-05-06 19:56:40,117861842.39387512,112.68277951753933,0.3054423659838428,0.3054423659838428,0.0,36,0,13281,0,410.0,82.0,368.9166666666667,96.7090065321966,0.0,0.0,0.0,0.0,410,82,368.9166666666667,96.7090065321966,9352.631944444443,288,0,8,36,3367481.2159590367,27339184.95202942,145.24627990722655,6175540.704587321,117861842.39387512,27339184.999465942,145.19691467285156,3367481.211253575,6175540.716086615,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,368.9166666666667,0,0,26417033.433914185,895.7386016845703,7040860.946361835,8511071.82127427,27338708.639144897,102319.47898864746,5805785.908418544,7757031.167068202,1157.5,4.5,0.0,0.0,2505.175249529013,0.0,368.9166666666667,0.0,0,36,0,13281,0
192.168.70.195,224.0.0.251,5353,5353,17,2023-05-06 19:56:40,104854942.7986145,6.256262055856732,0.07629587872996015,0.07629587872996015,0.0,8,0,656,0,82.0,82.0,82.0,0.0,0.0,0.0,0.0,0.0,82,82,82.0,0.0,0.0,64,0,8,8,14979277.544690814,15563600.812561035,14438275.82661743,335901.6494353961,104854942.7986145,15563600.778579712,14438275.814056396,14979277.542659214,335901.64504537155,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,82.0,0,0,1125324.9645233154,204253.4351348877,613953.9082845052,382836.6676636889,15563600.778579712,203483.58154296875,4197748.422622681,6563683.046979285,0.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,0,8,0,656,0
192.168.69.20,224.0.0.251,5353,5353,17,2023-05-06 19:56:41,117245685.81581116,12.759531317426582,0.09382008321637192,0.09382008321637192,0.0,11,0,1496,0,136.0,136.0,136.0,0.0,0.0,0.0,0.0,0.0,136,136,136.0,0.0,0.0,88,0,8,11,11724568.573378906,37784057.18602295,1.416534423828125,14220042.20603453,117245685.81581116,37784057.14035034,1.430511474609375,11724568.581581116,14220042.186071666,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,136.0,0,0,37784055.70983887,205371.14143371582,20649317.105611164,15518859.998644274,37784057.14035034,103318.92967224121,13340502.0236969,13129139.156737005,0.0,0.0,0.0,0.0,0.0,0.0,136.0,0.0,0,11,0,1496,0
192.168.70.22,192.168.70.198,45992,8009,6,2023-05-06 19:56:42,115512829.30374146,86.84749616530313,0.6233073887461946,0.4155382591641298,0.2077691295820649,48,24,5808,4224,176.0,66.0,121.0,55.0,176.0,176.0,176.0,0.0,176,66,139.33333333333334,51.85449728701348,2688.8888888888887,960,480,20,24,1626941.262453278,5009987.828259277,51.97135620117187,2339070.6935154777,115512829.30374146,5009987.831115723,5918.264389038086,2457719.772420031,2494646.938902899,115501588.82141113,5064490.079879761,5008250.2365112305,5021808.209626571,14359.613240237151,0,0,0,0,1,0,0,0,0,0,0,0.5,139.33333333333334,501,277,5009879.82749939,10992.050170898438,4788691.36520054,1018611.6479223131,5009874.34387207,11118.650436401367,4797778.805096944,998090.3432246823,0.0,0.0,0.0,0.0,0.0,0.0,121.0,176.0,0,48,24,5808,4224
192.168.69.200,224.0.0.251,5353,5353,17,2023-05-06 19:56:42,0.0,0,0,0,0,1,0,85,0,85.0,85.0,85.0,0.0,0.0,0.0,0.0,0.0,85,85,85.0,0.0,0.0,8,0,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,85.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0,1,0,85,0
